 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     176 0.194E-03 0.367E-03 0.999E-04
     177 0.128E-03 0.198E-03 0.122E-03
     178 0.120E-03 0.158E-03 0.100E-03
     179 0.159E-03 0.178E-03 0.127E-03
     180 0.168E-03 0.133E-03 0.828E-04
     181 0.210E-03 0.187E-03 0.188E-03
     182 0.198E-03 0.139E-03 0.924E-04
     183 0.182E-03 0.189E-03 0.222E-03
     184 0.177E-03 0.142E-03 0.140E-03
     185 0.153E-03 0.199E-03 0.928E-04
     186 0.122E-03 0.149E-03 0.809E-04
     187 0.145E-03 0.171E-03 0.131E-03
     188 0.154E-03 0.140E-03 0.836E-04
     189 0.118E-03 0.148E-03 0.136E-03
     190 0.107E-03 0.110E-03 0.115E-03
     191 0.811E-04 0.102E-03 0.658E-04
     192 0.870E-04 0.755E-04 0.374E-04
     193 0.590E-04 0.821E-04 0.499E-04
     194 0.536E-04 0.634E-04 0.393E-04
     195 0.568E-04 0.510E-04 0.294E-04
     196 0.604E-04 0.378E-04 0.188E-04
     197 0.622E-04 0.867E-04 0.199E-04
     198 0.613E-04 0.646E-04 0.166E-04
     199 0.653E-04 0.676E-04 0.213E-04
     200 0.649E-04 0.505E-04 0.205E-04
     201 0.895E-04 0.695E-04 0.282E-04
     202 0.774E-04 0.520E-04 0.260E-04
     203 0.834E-04 0.510E-04 0.304E-04
     204 0.780E-04 0.379E-04 0.352E-04
     205 0.911E-04 0.366E-04 0.251E-04
     206 0.779E-04 0.318E-04 0.392E-04
     207 0.703E-04 0.311E-04 0.275E-04
     208 0.610E-04 0.286E-04 0.366E-04
     209 0.604E-04 0.327E-04 0.269E-04
     210 0.570E-04 0.345E-04 0.283E-04
     211 0.227E-04 0.489E-04 0.217E-04
     212 0.179E-04 0.384E-04 0.161E-04
     213 0.250E-04 0.316E-04 0.199E-04
     214 0.259E-04 0.305E-04 0.120E-04
     215 0.342E-04 0.320E-04 0.156E-04
